"""+/-""",DEF RTG,FG%,NETRTG,Num of All Stars,OFFRTG,OPP EFG%,OPP FG%,OPP PTS OFF TOV,PIE,Wins
9.3,109,42.8,-10.1,1,98.9,51.2,46,17.1,44.1,4
-2.2,104.6,44.7,2.1,2,106.7,48.9,44,16.5,50.5,2
5.7,106.8,45.3,-5.8,0,101,51.4,46.3,16.9,45.5,4
9,103.9,40.8,-9,0,94.8,49.7,44.9,20.6,42.6,4
0.9,105.3,45.2,-1.1,0,104.2,49.7,45.2,17.2,49.1,2
-4.2,102.8,45,4.3,2,107.1,47.6,43.9,15.1,52.2,1
3.7,108.2,45.5,-3.8,1,104.5,50.7,45.6,18.6,48.5,3
-6.2,101.3,46.8,6.3,1,107.6,48.4,44.4,15.1,54.5,0
-3.1,107.1,45.5,3.1,1,110.2,50.6,45.9,15,50.6,1
-0.2,104.1,44.7,0.1,0,104.2,49.1,44.6,17.4,50.7,2
-0.7,102.3,46.2,0.7,1,103,48.1,43.3,16.3,52.5,1
-0.5,105.6,45.8,-0.7,1,104.9,51,46.2,17.3,50.2,2
-4.5,106.5,43.5,-4.6,0,101.9,50.5,46.5,16.5,46.1,4
-1,106.7,45.9,-1.3,1,105.4,50.9,45.8,16.6,49.2,2
-0.2,103.3,44.2,-0.4,0,102.9,49.1,44.2,14,50.8,2
1.9,99.8,43.2,1.9,1,101.7,47.1,43,15.6,52.8,1
-3.3,107,43.7,-3.5,1,103.5,50.8,45.2,16.6,46.9,3
2.4,107.2,47.4,2.3,1,109.5,51.5,46.4,16.2,52.1,1
-2.1,107.3,44.7,-2.2,0,105.1,50,45.7,17.6,48.1,3
-3.7,109,44.7,-3.7,0,105.2,52,47,16.9,46.4,3
4.8,101.4,46.2,4.9,1,106.2,47.7,43.6,17,52.8,1
4.6,105.2,47.2,4.5,2,109.8,48.9,44.3,18,53.4,0
4.4,98.9,44.9,4.7,2,103.6,46,42,15.4,54.5,0
7,104,47.4,7.3,2,111.3,48.4,44.1,15.6,54.8,0
-6.3,109.3,45,-6,1,103.2,51.3,46.8,18.3,46,4
1.6,103.7,46.4,1.7,0,105.4,49.7,45,15.6,51.8,1
4.8,105,50.1,5.1,3,110,51.1,45.7,17.4,53.9,0
-8.2,110.1,43.8,-8.3,0,101.8,52,46.8,17.8,44.9,4
2.7,105.1,44.4,2.5,1,107.7,51.8,47.1,15.9,51.9,2
-2.7,109.1,45.9,-3,1,106.1,51.5,46.5,16.1,48.3,3
-0.8,108,44.9,-1.1,1,107,51.4,45.8,15,49,2
6.3,103,47.1,6.4,1,109.4,48.8,43.6,17.3,54.3,0
-5.4,106.6,44.5,-5.7,0,100.9,50.4,45.6,16.7,46.6,4
-10.5,109,43.5,-10,0,99,52.4,47.1,19.2,42.6,4
2.6,105.6,46.3,2.6,0,108.2,49.6,45.6,16.9,50.9,1
4,106.1,45,4.2,2,110.4,48.8,45.1,15.6,52.4,0
-2.9,107.8,44.7,-2.7,0,105.1,51.2,46.1,17.1,47.3,4
7.7,101.4,48.6,8.2,1,109.5,48.2,44.4,16.3,55.5,0
3.2,104.6,44.5,3.3,1,107.9,49.3,45,16.8,51.2,1
-7.2,110,44.4,-7.6,0,102.4,51.8,47.3,17.4,45.1,4
1.3,103.5,45.9,1.3,1,104.8,50.4,45.8,16.8,50.4,2
0.4,103.4,46.4,0.3,0,103.7,49.6,45,16.7,50.9,2
-0.2,102.6,46.5,-0.6,2,102.1,48.2,44.1,16.9,50.7,2
1.8,104.8,45,2,1,106.8,50.3,46.4,16.9,50.9,1
-9.2,110.3,42.5,-9.9,0,100.4,52.4,47.1,17,43.8,4
0.3,101.9,43.7,0.5,2,102.4,47.7,44.3,15.4,51.4,2
-4.7,108.2,43.4,-5,1,103.2,52.3,47.6,16.2,45,4
-0.6,105.4,46.2,-0.7,0,104.7,49.2,44.5,17.1,50.2,2
5.1,104.1,47.8,5.1,0,109.3,49.3,44.4,17.3,53.8,0
-4,107.2,44.9,-4.5,0,102.7,50.5,45.9,17.8,46.7,3
0.9,104.2,45.8,0.9,1,105.1,48.6,43.9,17.3,50.2,1
3.5,105.3,46.1,3.5,1,108.7,50.2,45.4,18.4,51,2
4,99,43.6,4.3,1,103.4,45.3,42,16,53.7,1
6.5,102.8,47.8,6.9,2,109.7,49.2,44.3,16,54.8,0
1.2,105.9,45.8,1.1,2,107,49.6,45.3,16.7,51.3,2
4.1,99.1,44.4,4.5,1,103.6,47.5,43.5,14.9,53.1,0
7.9,103.2,49.6,8.2,3,111.4,48.7,44,15.7,56.4,0
-1.5,104.2,43.5,-1.7,0,102.5,49.2,45.4,16.8,48.8,2
-2.4,104,43.9,-2.2,0,101.8,51.1,46.8,16.5,49.4,3
-3.9,108.9,44.8,-4.4,0,104.5,52,47.1,17.3,46.4,4
4.2,105.4,44.8,4.5,2,109.8,50.8,45.8,13.5,51.2,0
9.2,101.2,48.1,9.9,2,111,46.9,42.5,16.7,57,0
-7,108.3,44.8,-7.4,0,100.9,50.8,46.3,16.8,45.9,4
-3.3,104.7,44.4,-3.7,1,101,49.5,45.4,14.5,47.4,3
-6.5,106.8,44.3,-6.7,0,100.1,51.2,47,18.6,45.8,4
-3.2,107.9,44.8,-3.4,1,104.5,51.2,47.4,17.2,46.8,3
-4.9,110,44.7,-4.6,0,105.3,51.7,47.2,17.6,45.4,4
6.4,100.3,48.1,6.8,2,107,48,44.2,16.4,55.1,0
-1.5,106.4,44.6,-1.4,0,105,50,45.8,15.5,48.4,3
-0.1,105.5,45.4,-0.2,0,105.3,50.1,45.8,16.9,50.4,2
-2.5,101.6,43.5,-2.3,0,99.3,48.3,44,16.8,48.1,3
3.4,100.3,45.4,3.9,1,104.2,48,44.4,16,52.6,1
2.5,97.5,46,2.6,2,100.1,45.2,41.9,16.2,53.5,1
-13.9,109.4,41.4,-15.1,0,94.4,51.2,47.5,17.2,41.1,4
8.2,97.4,45.2,8.8,2,106.3,45,42.1,15.4,56.1,0
-7.2,107.6,42.2,-7.7,0,100,50.8,46.7,16.9,43.9,4
1,100.9,44.3,1.1,1,102,47.9,43.5,15.8,51,2
2.9,105.1,47.6,3.2,0,108.3,50.8,45.6,17.3,52.7,1
-4.8,104.9,43.8,-5,0,99.9,50,46.2,18.4,44.8,3
-3.4,107.2,45.7,-3.4,0,103.9,49.6,45.3,16.2,47.2,4
0.2,103.9,44.9,0.2,0,104.2,49,45.6,16.7,49.7,2
3.3,102.1,43.8,3.3,1,105.4,47.6,43.5,15.1,52.1,1
2.6,104.8,45.5,2.7,2,107.5,49.2,44.7,15.1,51.7,1
1.4,103.1,45.7,1.4,2,104.5,47.6,43.7,16.6,52.4,1
2,100.6,44.7,2.2,1,102.8,48.5,44.4,16,51.4,1
6,99.2,46.9,6.4,3,105.6,47.9,43.4,16.6,55.3,0
0.3,104.1,44.3,0.4,0,104.5,48.9,44.9,16.5,50.3,2
-2.2,105.3,43.3,-2.2,1,103.1,49.1,45.5,18.4,48.3,3
-6,108.1,42.5,-6.3,1,101.8,51.3,47.2,17.7,44.8,4
-3.8,103.9,45.1,-4,0,99.8,48.5,44.4,17.7,48.2,4
3.2,100.2,44.3,3.2,1,103.4,48.5,44.2,17.8,52,2
6.1,102.1,47.1,6.3,2,108.4,46.5,42.7,16.7,54.2,0
0.8,103.3,44.1,0.6,1,103.9,48.8,44.9,16.2,49.3,1
4.2,98.2,44.8,4.6,1,102.7,46,42.7,11.6,53.2,2
-0.2,105.2,45.8,-0.1,1,105.2,49.1,45.5,15.2,50.2,2
-0.6,105.3,44.3,-0.9,1,104.4,50.4,46.3,16,49.4,3
-5.7,108.7,43.6,-5.8,0,102.9,51.5,47.6,17.8,45.1,4
7.2,102.3,47.8,7.7,1,110,48.9,45.2,15.2,54.6,0
-3.3,103.6,44,-3.9,0,99.6,47.5,43.5,15.4,47.8,4
0.6,104.9,45.6,0.5,0,105.5,49.3,45.3,15.3,50.9,2
-4.8,104.9,44.1,-5,0,100,49.2,45.3,18.2,46,4
-0.8,105.8,46.2,-0.7,2,105.1,49.5,46,15.2,49.3,2
5.4,99.8,48.6,5.7,4,105.5,46.9,43.4,15.1,55.8,0
-4,106.9,45.1,-4.2,0,102.8,50,45.5,16.5,48,3
7.3,99.4,46.2,7.8,1,107.2,46.3,43,15.4,55.5,0
-9,110.9,43.4,-9.5,0,101.5,52.4,47.5,15.8,44.1,4
4.2,104.1,47.5,4.4,1,108.4,48.8,45,15.4,53.8,0
4.8,106.8,47.6,4.9,1,111.7,50,45.9,15.6,52.4,1
-3.6,110.7,46,-3.6,0,107,52.6,48.6,16.3,46.4,3
-2.3,109.4,46.1,-2.3,0,107.1,50.9,46.7,17.6,47.2,3
2.2,107.9,45.4,2.3,1,110.2,50,46.8,15.2,51.5,2
-1.1,105,44.2,-1,0,104,48.7,44.9,17.1,49.2,2
-3.1,108,45.7,-3.2,1,104.8,49.9,45.5,19.1,48.3,3
6.1,103.2,46.3,6.3,2,109.6,47.7,43.7,14.7,54.1,0
2.3,104.5,47.1,2.5,0,107,50.2,45.7,15.3,51.8,1
7.5,102.9,48.1,7.8,3,110.6,47.5,43.4,15.5,55.6,0
-0.8,101.5,43,-0.7,0,100.7,48.1,44.7,14.8,48.8,3
-6.6,109.9,44.1,-6.8,1,103.1,51.4,46.8,20,44.3,4
-6.2,108.9,44,-6.8,0,102.1,50.3,46.5,15.9,45.2,4
0.9,104.4,45.9,0.9,1,105.3,50.1,45.7,14.6,50.7,1
0.8,109,45.7,1,1,109.9,51.1,47.2,16.1,50.4,2
3.8,105.9,46.4,3.9,2,109.8,49.3,45.8,15.4,52.9,0
5.5,101.8,46.1,5.6,1,107.4,47.5,43.6,16.5,53.4,1
1.5,103.8,46.1,1.5,0,105.3,48.7,45.1,14.7,51,2
-0.9,109.3,47,-0.8,0,108.5,51.3,47.2,16.8,49.4,2
1.5,105.7,44.7,1.6,0,107.3,51,46.7,15,51.6,1
-5.3,108.4,44.9,-5.6,0,102.9,51.3,47.8,18.9,46.2,4
5.7,104.4,47.5,6.2,2,110.5,49.1,45.6,15.3,53.8,0
